#Sample dictionary
#https://github.com/HexLasso/FF-16

#Text
0D 0A;       NewLine
30 30;       Decimal
20 20;       Space

#Internet
3D 22;       StrAssign
3E 3C;       MarkupTag

#PDF
30 +(19) 30; PdfXref

#Most common English bigrams
#https://en.wikipedia.org/wiki/Bigram
74 68;       Eng
68 65;       Eng
69 6E;       Eng
65 72;       Eng
61 6E;       Eng
72 65;       Eng
6F 6E;       Eng
61 74;       Eng
65 6E;       Eng
6E 64;       Eng
74 69;       Eng
65 73;       Eng
6F 72;       Eng
74 65;       Eng
6F 66;       Eng
65 64;       Eng
69 73;       Eng
69 74;       Eng
61 6C;       Eng
61 72;       Eng
73 74;       Eng
74 6F;       Eng
6E 74;       Eng
6E 67;       Eng
73 65;       Eng
68 61;       Eng
61 73;       Eng
6F 75;       Eng
69 6F;       Eng
6C 65;       Eng
76 65;       Eng
63 6F;       Eng
6D 65;       Eng
64 65;       Eng
68 69;       Eng
72 69;       Eng
72 6F;       Eng
69 63;       Eng
6E 65;       Eng
65 61;       Eng
72 61;       Eng
63 65;       Eng

#Structure
00 +(1) 00;  Value16|Unicode
00 +(2) 00;  Value24
00 +(3) 00;  Value32
00 +(7) 00;  Value64

#x86
0F 84;       Jz
0F 85;       Jnz
33 C0;       Xor
41 8B;       Mov
48 83;       Dec
48 89;       Mov
48 8B;       Mov
55 8B;       Prologue
5D C3;       Epilogue
83 F8;       Cmp
83 FF;       Cmp
85 C0;       Test
89 45;       Mov
8B 45;       Mov
90 90;       Nop
E8 +(3) 00;  Call
E8 +(3) FF;  Call
E9 +(3) 00;  Jmp
E9 +(3) FF;  Jmp
CC CC;       Int3
FF 15;       Call
FF 25;       Jmp
FF 75;       Push

#MSIL
28 +(2) 00;  IL.call
6F +(2) 00;  IL.callvirt
72 +(2) 00;  IL.ldstr

#Windows
40 00;       ImageBase

#Binary
00 00;       Null|Align
FF FF;       Negative|Align
